en-CA,fr-CA
Creamy Chipotle Sauce,Double filet de poisson
Creamy Dijon Mustard,Double h-fromage
Creamy Spicy Sauce,Double hamburger
Crispy Chicken Patty,Double Hamburger
Crispy Onions,Double hamburger avec fromage
Crispy Ranch Snack Wrap,Double Hamburger avec fromage
Crispy Snack Wrap,Double Hamburger avec fromage et bacon
Croissant,double hamburger fromage
Croissants Sandwiches,Double hamburger fromage
Crumble,Double quart BLT
Cucumber,Double quart de livre avec fromage
Cut in half,Double quart de livre BLT
Dasani Water,Double quart de livre fromage
Dbl Chsb LT,Double quart de livre sans fro
Dbl Dbl,Double quart de livre sans fromage
Dbl Quarter Pounder,Double Quart Fromage
Dbl Quarter Pounder withCheese,Double Quart Hamburger (sans fromage)
Decaf Coffee,Double Quart livre (sans fromage)
Delivery,Duo
Delivery Fee,Duo 2 biscuits
Description,duo avec Café
Dessert,Duo Bagel Crm Chs avec Café
Diced Apples,Duo café et pâtisserie
Diet Coke,Duo chausson aux pommes
Diet Coke Syrup,Duo chausson aux pommes et McCafé
Distance Fee,Duo chausson aux pommes McCafé
Double Bacon 'N Crispy Onion,Duo muffin anglais
Double Bacon 'N Crispy Onion Quarter Pounder,Duo muffin anglais et boisson chaude
Double Big Mac,Duo muffin et café
Double Big Mac Extra Value Meal,"Duo patates hachées brunes et café, format moyen"
Double Cheeseburger,Duo rôties blanc
Double Cheeseburger Extra Value Meal,Duo rôties blanc et boisson chaude
Double Cheesy Melt,Duo rôties blé entier
Double Cheesy Melt Extra Value Meal,Duo rôties blé entier et 2 œufs frits
Double Chsb LT,Duo rôties blé entier et boisson chaude
Double Double,E Coke
Double Espresso,E Eau froide
Double Filet-O-Fish,E LF à la fraise ML
Double Filet-O-Fish Extra Value Meal,E LF au chocolat ML
Double Hamburger,E LF au vanille ML
Double Hamburger Extra Value Meal,E LF chocolat
Double Quarter Pounder,E LF fraise
Double Quarter Pounder BLT,E LF vanille
Double Quarter Pounder BLT Extra Value Meal,Eau DASANI
Double Quarter Pounder Cheese,EC Capp sirop ***
Double Quarter Pounder Extra Value Meal,ÉC Cappuccino ***
Double Quarter Pounder with Cheese,EC Choc ch ment ***
Double Quarter Pounder With Cheese,ÉC Lat M. Car
Double Quarter Pounder with Cheese Extra Value Meal,EC Latte
Double Quarter Pounder without Cheese,ÉC Latte ***
Double Quarter Pounder without Cheese Extra Value Meal,ÉC Latte M. Caramel
Double Toasted,EC Latte sirop ***
Drink,ÉC Latte ss ***
Drink tray,ÉC Moka ***
Driver Regulatory Fee,EC Moka menthe ***
Earl Grey Tea,Échantillon
Earlybird Mug,Échantillon latte caramel (lait 2%)
Edamame,Edamame
Egg ‘N Cheese McGriddles,Enfant
Egg ‘N Cheese McGriddles Extra Value Meal,Enfant Coca-Cola
Egg ‘N Cheese McMuffin,Enfant Coca-Cola Zero
Egg ‘N Cheese McMuffin Extra Value Meal,Enfant Coke
Egg BLT Bagel ***,Enfant Coke Diète
Egg BLT Bagl VM,Enfant Fruitopia fraises
Egg BLT McMuffin,Enfant Fruitopia orange
Egg BLT McMuffin Extra Value Meal,Enfant Racinette Barq's
Egg LT Bagl VM,Enfant Sprite
Egg LT Croissant Sandwich,Enfant Thé glacé Fuze
Egg McMuffin,Enfant Thé glacé FUZE
Egg McMuffin & Hash Brown Deal,Enfant Thé glacé NESTEA
Egg McMuffin Extra Value Meal,Ens mél salades
Egg White Only,Érable et cheddar ***
English Muffin,Espresso
English Muffin Special,Espresso allongé
Entrée Salad,Extra from ched jack
Espresso,Extra garniture coupe glacée
Everything Bacon 'N Egg Bagel,Extra garniture pour coupe glacée
Everything Bacon 'N Egg Bagel Extra Value Meal,Extra sauce à McCroquettes
Everything Bacon & Guacamole Bagel,Extra sauce poutine
Everything Bacon & Guacamole Bagel Meal,Extra sirop
Everything Bagel,Facturation pour livraison
Everything Bagel Happy Meal,Festin 20 McCroquettes
Everything Bagel Reg CC Prod,Festin 20 McCroquettes (portion pour 2)
Everything Bagel w/ Reg Cream Cheese McValue Meal,Festin déjeuner pour 4
Everything Bagel w/ Regular Cream Cheese Product,Festin déjeuner pour 4 (portion pour 4)
Everything Bagel with Regular Cream Cheese Product,Festin écono
Everything BLT Bagel,Festin écono (portion pour 4)
Everything BLT Bagel Extra Value Meal,Festin familial
Everything Egg BLT Bagel,Festin familial (portion pour 3)
Everything Egg BLT Bagel Extra Value Meal,Festin fin de soirée
Everything Sausag 'N Egg Bagel,Festin fin de soirée (portion pour 4)
Everything Sausage 'N Egg Bagel,Festins à partager
Everything Sausage 'N Egg Bagel Extra Value Meal,Filet de poisson
Everything Sausage Egg Bagel,Filet de poisson et Côte
Evr Bgl w/Sprd VM ***,Fourchettes
Evry Bagl w/ Spreads,Frais (2 sacs)
Evry Bagl w/ Spreads ***,Frais de distance
Evry Bgl w/ Sprd VM ***,Frais de fête
Exclusive McValue Add-on,Frais de livraison
Extra Chai Glow Tea Bag,Frais de réponse réglementaire
Extra Earl Grey Tea Bag,Frais de réponse réglementaire du livreur
Extra Gravy,Frais de service
Extra Green Tea Bag,Frais de temps d'attente évita
Extra Ice,Frais de temps d'attente évitable des livreurs DD
Extra Large,Frais pour petite commande
Extra Large Earl Grey Tea,Frites
Extra Large Green Tea,Frites assaisonnées aux fines herbes et à l'ail
Extra Large Peppermint Tea,Frites de renommée mondiale
Extra Large Senior's Coffee,Frites fines herbes et à l'ail
Extra Large Senior's Decaf Coffee,"Frites, format petit"
Extra Large Senior's Earl Grey Tea,"Frites, grand format"
Extra Large Senior's Green Tea,"Frites, mini-format"
Extra Large Senior's Orange Pekoe Tea,"Frites, moyen format"
Extra Large Senior's Peppermint Tea,"Frites, petit format"
Extra Orange Pekoe Tea,From chedar jack
Extra Peppermint tea bag,From cr orig
Extra Peppermint Tea Bag,From. la crème à côté
Extra Sundae Topping,Fromage
Extra Syrup,Fromage à la crème
Extra Value Meal,Fromage à la crème original
Family Bundle,Fromage Brie
Family Bundle (Serves 3),Fromage cheddar blanc
Feta & Olive Sauce,Fromage crème
Filet-O-Fish,Fromage en grains
Filet-O-Fish & Side Deal,Fromage grillé sandwichs
Filet-O-Fish Extra Value Meal,Fromage grillé sandwichs
Filet-O-Fish Patty,Fromage mozzarella
Fireworks Mug,Fromage parmesan râpé
Fish,Fromage râpé
Flexible Straw,Fromage Suisse
Foam,Fruitopia fraises
Fondant Syrup,Fruitopia orange
Forks,Fruitopia Org Syrup
Fountain Drinks,Fruitopia Strw Syrup
Frank's Creamy Garlic Sauce,Fuze Iced Tea Syrup
Frank's RedHot Menu,G Café
Frank's RedHot Original McCrispy,G Café décaf infusé
Frank's RedHot Original McCrispy Extra Value Meal,G Café frappé + crème fouettée + coulis au choc.
Frank’s RedHot Creamy Garlic B,G Capp sirop ***
Frank’s RedHot Creamy Garlic Bacon ‘N Egg McMfn VM,G Cappuccino ***
Frank’s RedHot Creamy Garlic Bacon ‘N Egg McMuffin,G Cappuccino R ***
Frank’s RedHot Creamy Garlic C,G Cappuccino Sirop ***
Frank’s RedHot Creamy Garlic Chicken McMuffin,G Cappuccino Sirop R***
Frank’s RedHot Creamy Garlic Chicken McMuffin EVM,G Chai frappé van. + cr. fouettée + coulis au choc.
Frank’s RedHot Creamy Garlic E,G Choc ch ment ***
Frank’s RedHot Creamy Garlic Egg McMuffin,G Coke
Frank’s RedHot Creamy Garlic Egg McMuffin EVM,G Déca infusé
Frank’s RedHot Creamy Garlic S,G Eau chaude
Frank’s RedHot Creamy Garlic Saus ‘N Egg McMfn VM,G Eau froide
Frank’s RedHot Creamy Garlic Sausage ‘N Egg McMfn,G Lat caramel ***
Frank’s RedHot Hot Honey Dippi,G Lat M. Car ***
Frank’s RedHot Hot Honey Dipping Sauce,G Lat pép choc ***
Frank’s RedHot McVeggie,G Latte ***
Frank’s RedHot Original McCris,G Latte au caramel ***
Frank’s RedHot Original McCrispy,G Latte au chocolat et à la noisette (lait 2 %)
Frank’s RedHot Original McCrispy Bacon Deluxe,G Latte glacé ***
Frank’s RedHot Original McCrispy Bacon Deluxe Meal,G Latte glacé au chocolat et à la noisette (lait 2 %)
Frank’s RedHot Original McVeggie,G Latte glacé L ***
Frank’s RedHot Original McVeggie Meal,G Latte M. Caramel ***
Frank’s RedHot® Original Thick,G Latte menthe ***
Frank’s RedHot® Original Thick Sauce,G Latte pép choc ***
Free Medium Soft Drink,G Latte sirop ***
Free Sandwich,G Latte Sirop ***
French Book,G Latte Sirop R ***
French Croissant,G Latte vanille fr
French Croissant,G LF à la fraise ML
French Fries,G LF à la vanille ML
French Vanilla Cream Cold Brew,G LF au chocolat ML
French Vanilla Latte (2% milk),G LF chocolat
French Vanilla Latte (2% Milk),G LF fraise
French Vanilla Latte (Almond Milk,G LF vanille
French Vanilla Latte (Almond milk),G Moka ***
French Vanilla Latte (Almond Milk),G Moka menthe ***
French Vanilla Syrup,G Smo bleuet
Fried Egg,G Smo mangue
Fries,G Smooth bleuet ML
Fruit & Fibre Muffin,G Smooth mangue ML
Fruit Medley,G Thé Earl Grey
Fruit Splash Beverage,G Thé pekoe
Fruit Splash Beverages,G Thé vert
Fruitopia Orange,Galette de poulet
Fruitopia Org Syrup,Garni comme Big Mac
Fruitopia Strawberry,Garni comme Mac
Fruitopia Strawberry Passion Awareness,Garniture croustillante au car
Fruitopia Strw Syrup,Garniture croustillante au caramel salé
Fry Display,Garniture Mcflurry
Fry Monitor Display,Glaçage au fromage à la crème
Fudge,Glace
Fudge Sundae,Glace chili limettes
Fuze Iced Tea,Glacéau smartwater
FUZE Iced Tea,"Glacéau vitaminwater baie d'acai, bleuet et grenade"
Fuze Iced Tea Syrup,Glacéau vitaminwater bleuets
Garden Salad(apples & walnuts),Glacéau vitaminwater orange
Garlic Seasoning,glacée moka
Gingham Holiday Mug,Glacée moka  (lait d'amande)
Gold Peak Slightly Sweet Lemon Iced Tea,Godet crème
Gold Peak Sweet Lemon Iced Tea,Godet de lait
Granola,Gonflez V Tr
Grape Tomatoes,Graines tournesol
Gravy,Grand
Greek Entrée Salad,Grand
Greek Pasta Feta Salad,Grand
Green Dipped Mug,Grand americano
Green Onions,Grand Café frappé
Green Tea,Grand café glacé
Grilled Cheese,Grand café glacé à la vanille
Grilled Cheese Sandwich,Grand café glacé au caramel
Grilled Cheese Sandwiches,Grand café glacé avec boisson à l'avoine
Grilled Chicken,Grand café glacé avec sirop sans sucre
Grilled Chicken Patty,Grand Café glacé avec sirop sans sucre
Grilled Chicken Sandwich,Grand café infusé
Grilled Chicken Sandwich,Grand café infusé à froid
Grilled Chicken Sandwich,Grand café infusé à froid avec sirop sans sucre et crème
Grilled Chicken Sandwich Extra Value Meal,Grand café infusé à froid caramel et crème
Grilled Frank's RedHot Origina,Grand café infusé à froid sucré avec crème
Grilled Frank's RedHot Original,Grand café infusé à froid sucré/avoine
Grilled Frank's RedHot Original Extra Value Meal,Grand café infusé à froid vanille française et crème
Grilled Frank’s RedHot Origina,Grand Café infusé aînés
Grilled Frank’s RedHot Original Bacon Deluxe,Grand café infusé décaféiné
Grilled Frank’s RedHot Original Bacon Deluxe Meal,Grand café infusé décaféiné aînés
Grilled Onions,Grand café infusé décaféiné Remplir nouveau
Grilled Ranch Snack Wrap,Grand café infusé Remplir nouveau
Grilled Snack Wrap,Grand cappuccino (lait 2%)
Ground Coffee & Mug Giftset,Grand Cappuccino (lait d'amande)
Guacamole,Grand Chai frappé à la vanille
Half Cream,Grand Chai frappé à la vanille
Half Crispy Chicken Patty,Grand Chocolat chaud (lait 2%)
Half Decaf,Grand Coca Fraises et Crème avec mousse froide
Half Filet-O-Fish Patty,Grand Coca-Cola
Half Grilled Chicken,Grand Coca-Cola Zero
Half Ice,Grand Coke
Half Milk,Grand Coke Diète
Half Oat Beverage,Grand Frites
Half Splenda,Grand Fruitopia fraises
Half Sugar,Grand Fruitopia orange
Half Syrup,Grand glacée moka
HALLOWEEN GC,Grand jus d'orange
Halloween Gift Certs,Grand jus de pomme
Hamburger,Grand lait ultra-frappé à la fraise
Hamburger Deluxe,Grand lait ultra-frappé à la vanille
Hamburger Deluxe McValue Meal,Grand lait ultra-frappé au chocolat
Hamburger Happy Meal,Grand latte (lait 2%)
Hamburger with Apple slices,Grand latte (lait d'amande)
"Hamburger, No Meat",Grand latte à la caramel (lait 2%)
Happy Meal,Grand latte à la vanille française (lait 2%)
Happy Meal 4 McNuggets with Apple slices,Grand Latte à la vanille française (lait d'amande)
Happy Meal 4 McNuggets with Apple Slices,Grand latte à thé London fog (lait 2%)
Happy Meal 4 McNuggets with Mini Fries,Grand latte au thé matcha (lait 2%)
Happy Meal 4 McNuggets with Mini-fries,Grand latte avec sirop sans sucre (lait 2%)
Happy Meal 4 McNuggets with Small Fries,Grand latte avec sirop sans sucre (lait d'amande)
Happy Meal 4 McNuggets with Small fries for $2.99,Grand latte caramel (lait 2%)
Happy Meal Book only,Grand latte caramel (lait d'amande)
Happy Meal Cheeseburger,Grand latte glacé (lait 2%)
Happy Meal Cheeseburger Mini Fry for $2.99,Grand Latte glacé (lait amande)
Happy Meal Cheeseburger with Apple slices,Grand latte glacé au matcha (lait 2%)
Happy Meal Cheeseburger with Apple Slices,Grand latte glacé matcha (lait amande)
Happy Meal Cheeseburger with Mini Fries,Grand menthe poivrée
Happy Meal Cheeseburger with mini-fries,Grand Moka (lait 2%)
Happy Meal Cheeseburger with Small Fries,Grand moka glacé
Happy Meal Cheeseburger with Small fries for $2.99,Grand Racinette Barq's
Happy Meal Crispy Chicken Snack Wrap with Apple Slices,Grand smoothie fraises-banane
Happy Meal Crispy Chicken Snack Wrap with Mini Fries,Grand smoothie grenade-bleuets
Happy Meal Crispy Chicken Snack Wrap with Small Fries,Grand smoothie mangue-ananas
Happy Meal Crispy Mayo with Mini Fries,Grand Splash fraîcheur au citron
Happy Meal Fish Stick,Grand Splash fraîcheur au melon d’eau et à la lime
Happy Meal French Book only,Grand Sprite
Happy Meal Grilled Cheese with Apple Slices,Grand Sprite à la framboise bleue avec mousse froide
Happy Meal Grilled Cheese with Mini Fries,Grand Sprite Crème à l'orange avec mousse froide
Happy Meal Grilled Cheese with Small Fries,Grand Sprite nocturne
Happy Meal Grilled Chicken Snack Wrap with Apple Slices,Grand thé à la menthe poivrée
Happy Meal Grilled Chicken Snack Wrap with Mini Fries,Grand thé à la menthe poivrée aînés
Happy Meal Grilled Chicken Snack Wrap with Small Fries,Grand thé bergamia gris
Happy Meal Hamburger with Apple slices,Grand thé chai éclat
Happy Meal Hamburger with Apple Slices,Grand thé Earl Grey
Happy Meal Hamburger with Mini Fry,Grand thé earl grey aînés
Happy Meal Hamburger with mini-fries,Grand Thé glacé Fuze
Happy Meal Hamburger with Small Fries,Grand thé menthe poivrée aînés
Happy Meal Hamburger with Small fries for $2.99,Grand thé orange pekoe
Happy Meal Hotcakes with Apple Slices,Grand thé Orange Pekoe
Happy Meal Hotcakes with Hash Browns,Grand thé orange pekoe aînés
Happy Meal Hotcakes with Hashbrowns for $2.99,Grand thé rugissement noir
Happy Meal Hotcakes with Mini Fry,Grand thé vert
Happy Meal Hotcakes with Small Fries,Grand thé vert à la citronnelle
Happy Meal Juice/Milk/Water,Grand thé vert aînés
Happy Meal Lettuce & Tomato Snack Wrap w/ Apple Slices,Gratuit moyen boisson
Happy Meal Lettuce & Tomato Snack Wrap with Mini Fries,Guacamole
Happy Meal Lettuce & Tomato Snack Wrap with Small Fries,H-fromage
Happy Meal Lettuce & Tomato SnackWrap w/ Sml Fries,Hamburger
Happy Meal Mayo Crispy Chicken Snack Wrap with Mini Fries,Hamburger avec fromage
Happy Meal Nugget,Hamburger avec fromage de luxe
Happy Meal snack Wrap,"Hamburger avec fromage, sans viande"
Happy Meal Snack Wrap,Hamburger De Luxe
Happy Meal Toy,Hamburger fromage
Happy Meal Toy - Under 3,"Hamburger fromage, sans viande"
Happy Meal with Apple slices,Hamburger Joueur étoile
Happy Meal with Apple Slices,Hamburger Joueur étoile - repas Bâtons LNH
Happy Meal with Hash Browns,"Hamburger, sans viande"
Happy Meal with Hashbrowns,Hamburgers
Happy Meal with Mini Fries,Hazelnut & Cocoa McPops
Happy Meal with mini-fries,Honest Kids La Fée des pommes
Happy Meal with Mini-fries,Honest Kids Super Punch aux Fr
Happy Meal with Small fries,Honest Kids Super Punch aux Fruits
Happy Meal with Small Fries,Hummus original
Happy Meals,J’ai ma tasse (M)
Harvest Entrée Salad,JF Crêpes ***
Hash Brown,JF Fête crêpes
Hash Brown & Coffee,JF Fête h-from
Hash Brown & Medium Premium Roast Coffee,JF Fête hamb fromage
Hash Browns,JF Fête McCroq
Have my Own Cup (Med),JF Fête McCroquettes
Have my Own Cup (Med),JF Fête wrap
Hazelnut & Cocoa McPops,JF Jouet
Heart Mug,JF Jouet garçon
Heated,JF Jouet R
Herb & Garlic Seasoned Fries,JF poisson ***
HM 4 Nuggets & Mini Fry for $2.99,JF Poutine
HM 4Nug Chrg,JF Sand from fond***
HM 4Nug Party Charge,JF Wrp-éclair lait+tom***
HM 4Nugget ***,"Joeyeux Festin 4 McCroquettes, petit frites pour 2,99$"
HM BAGEL ***,Jouet moins de 3 ans
HM BAGL ***,Journal post sem
HM Buf Wrap Crispy ***,Journal post semaine
HM Buf Wrap Grill ***,Journal post wk-end
HM Buf Wrp Cr ***,Journal quotid
HM Buf Wrp Gr ***,Journal quotid 4
HM Cheese Bagl ***,Journal quotidien
HM Cheeseburger ***,Journal week-end
HM Cheeseburger Mn Fry Yog,Journal weekend
HM Chkn McBites ***,Journal wk-end 4
HM Chsb Chrg,Journl post wk-end
HM Chsb Party Charge,Joyeux festin
HM Evry Bagel ***,Joyeux festin 1 pat hach brune
HM Grilled Cheese ***,Joyeux festin 4 McCroquettes - mini-frites
HM Hambuger ***,Joyeux festin 4 McCroquettes - P frites
HM Hamburger ***,Joyeux festin 4 McCroquettes - pommes
HM Hamburger Mini Fry,Joyeux Festin 4 McCroquettes avec pommes
HM Hamburger Mini Fry for $2.99,"Joyeux Festin 4 McCroquettes, mini frites pour 2,99$"
HM Hotcakes ***,"Joyeux Festin 4 McCroquettes, mini-frites"
HM Htck Chrg,Joyeux Festin avec mini-frites
HM Htck Party Charge,Joyeux Festin avec pat hach br
HM Let & Tom Snwrp ***,Joyeux Festin avec petit frite
HM McEGGY ***,Joyeux festin avec pommes
HM Mgrain Bagel ***,Joyeux Festin avec pommes
HM Plain Bagel ***,Joyeux festin Crêpes - 1 pat hach brune
HM Sesame Bagel ***,Joyeux festin Crêpes - mini-frites
HM Snack Wrap ***,Joyeux festin Crêpes - p frites
HM Snk Wrap Chrg,Joyeux festin Crêpes - pommes
HM Snk Wrap Party Charge,"Joyeux Festin Crêpes, pat hach brunes pour 2,99$"
Hockey Hero Burger,Joyeux festin hamburger - mini-frites
Hockey Hero Burger - NHL Star Sticks Meal,Joyeux festin hamburger - P frites
Hockey Hero Burger Extra Value Meal,Joyeux festin hamburger - pommes
Hockey Holiday Mug,Joyeux Festin Hamburger avec pommes
Hockey Tickets,Joyeux festin hamburger fromage - mini-frites
Holiday Sweater Cup,Joyeux festin hamburger fromage - P frites
Holiday Tree Cup,Joyeux festin hamburger fromage - pommes
Hollandaise-style sauce,"Joyeux Festin Hamburger fromage, mini-frites"
Homestyle Bun,"Joyeux Festin Hamburger fromage, petit frites pour 2,99$"
Honest Kids Appley Ever After,"Joyeux Festin Hamburger fromage, pommes"
Honest Kids Super Fruit Punch,"Joyeux Festin Hamburger, mini-frites"
Honey,"Joyeux Festin Hamburger, mini-frites pour 2,99$"
Honey Dijon Vinaigrette Dressi,"Joyeux Festin Hamburger, petit frites pour 2,99$"
Honey Dijon Vinaigrette Dressing,Joyeux festin jouet
Hot Beverage,Joyeux festin jouet moins de 3 ans
Hot Chocolate,Joyeux festin mini-frites
Hot Chocolate (2% Milk),Joyeux festin p frites
Hot Chocolate (Almond Milk),Joyeux festin P frites
Hot Chocolate Packet,Joyeux festin sandwich fromage fondant - mini-frites
Hot Drink,Joyeux festin sandwich fromage fondant - P frites
Hot Drinks,Joyeux festin sandwich fromage fondant - pommes
Hot McCafé,Joyeux festin Wrap-éclair
Hot Mustard,Joyeux festin Wrap-éclair croust - mini-frites
Hot Reusable Cup,Joyeux festin Wrap-éclair croust - P frites
Hotcake & Sausage Extra Value Meal,Joyeux festin Wrap-éclair croust - pommes
Hotcake Syrup,Joyeux festin Wrap-éclair grillé - mini-frites
Hotcakes,Joyeux festin Wrap-éclair grillé - P frites
Hotcakes & Bacon,Joyeux festin Wrap-éclair grillé - pommes
Hotcakes & Bacon Extra Value Meal,Joyeux festin Wrap-éclair laitue et tomate - mini-frites
Hotcakes & Sausage,Joyeux festin Wrap-éclair laitue et tomate - P frites
Hotcakes & Sausage Extra Value Meal,Joyeux festin Wrap-éclair laitue et tomate - pommes
Hotcakes & Snacks & Sides,Joyeux festin Wrap-éclair Ranch croust - mini-frites
Hotcakes Extra Value Meal,Junior au poulet
Hotel Coupon,Junior au poulet chili doux
Ice,Jus
Ice Coffee with sugar free syrup,Jus d'orange
Ice Mocha 2S,Jus d'orange - Simply Orange
Ice Mocha Milk,Jus de pomme
Iced Coffee,Jus de pomme - Simply Pomme
Iced Coffee with sugar free syrup,"Jus, lait et eau"
Iced Latte,Jus/lait/bouteille
Iced Latte (2% Milk),Jus/lait/bouteille d'eau
Iced Latte (Almond Milk),Ketchup
Iced Matcha Tea Latte (2% Milk),L Lat M. Crml ***
Iced Matcha Tea Latte (Almond Milk),L Latte M. Caramel ***
Iced Mocha,Laisser esp
Iced Mocha (2% Milk),Lait
Iced Mocha (almond milk),Lait 1%
Iced Mocha (Almond Milk),Lait 1% au chocolat
In a Cup,Lait 2%
Italian Herb Sauce,Lait chocolat
Jam with knife,lait d'amande
Jr Chicken,Lait frappé à la fraise
Jr Chicken Meal Deal,Lait frappé à la menthe
Juice,"Lait frappé à la menthe, format collation"
Juice Deposit,"Lait frappé à la menthe, format moyen"
Juice Pack Deposit,"Lait frappé à la menthe, grand format"
"Juice, Milk & Water","Lait frappé à la menthe, petit format"
Juice/Milk/Water,Lait frappé à la vanille
Junior Chicken,Lait frappé au chocolat
Junior Chicken McValue Meal,Lait glacee
K-Cup & Tumbler Giftset,Lait ultra-frappé
Ketchup,Lait ultra-frappé à la fraise
Ketchup Packet,Lait ultra-frappé à la vanille
Keychain,Lait ultra-frappé au chocolat
Kid's Mac,Laits frappés
Kiddie Cone,Laitue
Knives,Large
L  Hot Choc ***,Large Cup
L Apple Juice,Latte
L Cap Syrup ***,Latte (lait 2%)
L Cappuccino ***,Latte (lait aux amandes)
L Cappuccino Syrup ***,Latte (lait d'amande)
L Caramel Choc Latte ***,Latte à la caramel (lait 2%)
L Caramel Choc Mocha ***,Latte à la crème brûlée (lait 2%)
L Caramel Latte ***,"Latte à la van fr, format moyen (lait aux amandes)"
L Chai Latte ***,"Latte à la van fr, grand format (lait aux amandes)"
L Choc Chip Lat ***,"Latte à la van fr, petit format (lait aux amandes)"
L Hot Choc  ***,Latte à la vanille française (lait 2%)
L Hot Choc ***,Latte à la vanille française (lait aux amandes)
L Hot Choc Mint ***,Latte à la vanille française (lait d'amande)
L Hot Chocolate ***,Latte à thé chai cardamome (lait 2%)
L Hot Water,Latte à thé chai cardamome (lait écrémé)
L Hot Wht Choc ***,Latte à thé London fog (lait 2%)
L Ice Latte ***,Latte à thé London fog (lait sans lactose)
L Iced Matcha Latte ***,Latte au caramel (lait 2%)
L Lat Caramel ***,Latte au caramel (lait aux amandes)
L Lat Chc Chp ***,"Latte au caramel, format moyen (lait aux amandes)"
L Lat Cml Choc ***,"Latte au caramel, grand format (lait aux amandes)"
L Lat M. Caramel ***,"Latte au caramel, petit format (lait aux amandes)"
L Lat M. Caramel***,Latte au chocolat et à la noisette (lait 2 %)
L Lat M. Crml ***,Latte au thé chai (lait 2 %)
L Lat Pump ***,Latte au thé chai (lait aux amandes)
L Lat Pumpkin Crml ***,"Latte au thé chai, format moyen (lait 2 %)"
L Lat SF ***,"Latte au thé chai, format moyen (lait aux amandes)"
L Lat Syrup ***,"Latte au thé chai, grand format (lait 2 %)"
L Latte ***,"Latte au thé chai, grand format (lait aux amandes)"
L Latte Cml Choc ***,"Latte au thé chai, petit format (lait 2 %)"
L Latte Mint ***,"Latte au thé chai, petit format (lait aux amandes)"
L Latte Mint R ***,Latte au thé matcha (lait 2 %)
L Latte Pumpkin ***,Latte au thé matcha (lait 2%)
L Latte Syrup ***,Latte au thé matcha (lait aux amandes)
L Lndn Fog Latte ***,"Latte au thé matcha, format moyen (lait 2 %)"
L Matcha Latte ***,"Latte au thé matcha, grand (lait aux amandes)"
L Mocha ***,"Latte au thé matcha, grand format (lait 2 %)"
L Mocha Cml Choc ***,"Latte au thé matcha, moyen (lait aux amandes)"
L Mocha Mint ***,"Latte au thé matcha, petit (lait aux amandes)"
L Mocha Wht Choc ***,"Latte au thé matcha, petit format (lait 2 %)"
L Orange Juice,Latte avec sirop sans sucre (lait 2%)
L Sugar Free Latte ***,Latte avec sirop sans sucre (lait aux amandes)
L Van Latte ***,Latte avec sirop sans sucre (lait d'amande)
L Water,Latte caramel (lait 2%)
Large,Latte caramel (lait d'amande)
Large,Latte citrouille (lait 2%)
Large Barq's Root Beer,Latte glacé
Large Blueberry Pomegranate Smoothie,Latte glacé (lait 2%)
Large Breakfast Poutine,Latte glacé (lait amande)
Large Cappuccino (Almond Milk),Latte glacé au chocolat et à la noisette (lait 2 %)
Large Caramel Iced Coffee,Latte glacé au matcha (lait 2%)
Large Chocolate Shake,Latte glacé matcha (lait amande)
Large Clear Cup,Latte London Fog (lait 2 %)
Large Coke,Latte London Fog (lait aux amandes)
Large Cup,"Latte London Fog, format moyen (lait 2 %)"
Large Cup FS,"Latte London Fog, format moyen (lait aux amandes)"
Large Decaf Coffee,"Latte London Fog, grand format (lait 2 %)"
Large Diet Coke,"Latte London Fog, grand format (lait aux amandes)"
Large Earl Grey Tea,"Latte London Fog, petit format (lait 2 %)"
Large French Fries,"Latte London Fog, petit format (lait aux amandes)"
Large French Vanilla Latte,"Latte, format moyen (lait aux amandes)"
Large French Vanilla Latte (2% milk),"Latte, grand format (lait aux amandes)"
Large Fries,"Latte, petit format (lait aux amandes)"
Large Green Tea,Le Grand M
Large Mango Smoothie,Légèrement grillé
Large Orange Pekoe Tea,Les bâtons des étoiles de la L
Large Peppermint Tea,Les bâtons des étoiles de la LNH - Ajouter à la commande
Large Poutine,"LF chocolat, format col."
Large Premium Roast Coffee,"LF fraise, format col."
Large Senior's Decaf Coffee,"LF vanille, format col."
Large Senior's Earl Grey Tea,Livraison
Large Senior's Green Tea,Livre Ou Jouet
Large Senior's Orange Pekoe Tea,Livret avec un Joyeux festin
Large Senior's Peppermint Tea,Livret fr avec Joyeux festin
Large Spicy Buffalo Crispy Poutine,Livret français avec un Joyeux festin
Large Spicy Buffalo Grilled Poutine,Livret français seul
Large Spicy Crisp Poutine,Livret seul
Large Sprite,M Café
Large Strawberry Banana Smoothie,M Café décaf infusé
Large Strawberry Shake,M Café frappé + crème fouettée + coulis au choc.
Large Vanilla Shake,M Capp sirop ***
Late Night Bundle,M Cappuccino ***
Late Night Bundle (Serves 4),M Cappuccino R ***
Latte,M Cappuccino Sirop ***
Latte (2% Milk),M Cappuccino Sirop R***
Latte (Almond milk),M Chai frappé van. + cr. fouettée + coulis au choc.
Latte (Almond Milk),M Choc ch ment ***
Latte French Vanilla (@%),M Coke
Latte French Vanilla (2% Milk),M Déca infusé
Latte or Cappuccino,M Eau chaude
Latte with sugar free syrup (2% Milk),M Eau froide
Latte with sugar free syrup (Almond Milk),M Frites
Leaf Holiday Mug,M Lat caramel ***
Leaf Lettuce,M Lat M. Car ***
Leaf Mug,M Lat M. Crml ***
